symbol,date,open,high,low,close,usd_volume,btc_volume
ADA,2020-02-01,0.05383,0.05708,0.05322,0.05612,282630.11,5130318.1
ADA,2020-02-02,0.05612,0.05871,0.05492,0.05578,489070.9,8531715.8
ADA,2020-02-03,0.05578,0.05795,0.05533,0.05704,327418.3,5773863.62
ADA,2020-02-04,0.05704,0.0577,0.05421,0.05607,419354.46,7516294.49
ADA,2020-02-05,0.05607,0.06017,0.05561,0.05925,529425.84,8986317.02
ADA,2020-02-06,0.05925,0.06074,0.05824,0.05999,552410.24,9252886.5
ADA,2020-02-07,0.05999,0.06235,0.05948,0.05981,544220.74,8958329.02
ADA,2020-02-08,0.05981,0.06127,0.05697,0.06017,781090.92,13086698.64
ADA,2020-02-09,0.06017,0.06252,0.06006,0.06214,728032.14,11878846.45
ADA,2020-02-10,0.06214,0.06214,0.05849,0.06034,438389.25,7324080.15
ADA,2020-02-11,0.06034,0.06383,0.05874,0.06383,710965.65,11518563.31
ADA,2020-02-12,0.06383,0.07039,0.06383,0.06833,1307172.84,19704893.09
ADA,2020-02-13,0.06833,0.07226,0.06546,0.06894,1296384.03,18738969.68
ADA,2020-02-14,0.06894,0.07129,0.06714,0.07083,635897.58,9129714.45
ADA,2020-02-15,0.07083,0.07138,0.06255,0.06423,1203187.7,18079494.19
ADA,2020-02-16,0.06423,0.06702,0.05644,0.06216,1290746.12,20805263.44
ADA,2020-02-17,0.06216,0.0627,0.05585,0.06024,576147.9,9840911.37
ADA,2020-02-18,0.06024,0.0637,0.0582,0.0629,758307.41,12295638.53
ADA,2020-02-19,0.0629,0.0634,0.05697,0.0575,755361.17,12432981.47
ADA,2020-02-20,0.0575,0.059,0.05553,0.05827,649180.23,11321753.98
ADA,2020-02-21,0.05827,0.06019,0.05769,0.05915,288494.07,4880131.96
ADA,2020-02-22,0.05915,0.06048,0.05765,0.05887,85980.1,1462456.76
ADA,2020-02-23,0.05887,0.06244,0.05886,0.06192,350409.55,5722399.65
ADA,2020-02-24,0.06192,0.06242,0.05736,0.05925,335493.99,5649710.25
ADA,2020-02-25,0.05925,0.05949,0.05606,0.05659,293107.28,5127110.89
ADA,2020-02-26,0.05659,0.05666,0.04671,0.04928,1580873.2,31389417.26
ADA,2020-02-27,0.04928,0.05226,0.04638,0.04955,685890.46,13777626.35
ADA,2020-02-28,0.04955,0.05272,0.04613,0.04902,443357.96,9251196.36
ADA,2020-02-29,0.04902,0.05152,0.04765,0.04765,99813.05,2051065.69
ADA,2020-03-01,0.04765,0.05448,0.04518,0.04595,695238.97,15005534.62
ADA,2020-03-02,0.04595,0.04994,0.04557,0.0493,467822.67,9705020.69
ADA,2020-03-03,0.0493,0.0507,0.0477,0.0487,187121.33,3844010.22
ADA,2020-03-04,0.0487,0.05066,0.04815,0.04887,344249.73,6957875.14
ADA,2020-03-05,0.04887,0.05798,0.04887,0.05107,415716.19,8060778.76
ADA,2020-03-06,0.05107,0.0517,0.05005,0.0517,195385.47,3827413.17
ADA,2020-03-07,0.0517,0.05189,0.04833,0.04895,174857.34,3536974.91
ADA,2020-03-08,0.04895,0.04895,0.04252,0.04274,476975.52,10610395.17
ADA,2020-03-09,0.04274,0.04401,0.03901,0.04154,954527.06,23081946.18
ADA,2020-03-10,0.04154,0.04308,0.04031,0.04136,311080.55,7451844.69
ADA,2020-03-11,0.04136,0.04176,0.03745,0.03975,545347.28,13894778.54
ADA,2020-03-12,0.03975,0.03982,0.02296,0.02319,1375690.44,45655740.68
ADA,2020-03-13,0.02319,0.02972,0.01608,0.02845,1533719.66,61118871.79
ADA,2020-03-14,0.02845,0.02908,0.02534,0.0257,271252.88,9952458.58
ADA,2020-03-15,0.0257,0.02888,0.02334,0.02695,670820.7,25425391.65
ADA,2020-03-16,0.02695,0.02695,0.02165,0.02419,515590.63,21801207.36
ADA,2020-03-17,0.02419,0.02667,0.02419,0.02598,341779.85,13212709.57
ADA,2020-03-18,0.02598,0.02653,0.02445,0.02616,245942.55,9618572.58
ADA,2020-03-19,0.02616,0.03202,0.02584,0.03047,861847.33,28893580.47
ADA,2020-03-20,0.03047,0.03412,0.02666,0.02937,807184.84,25860547.68
ADA,2020-03-21,0.02937,0.03059,0.02788,0.02943,228508.29,7802297.96
ADA,2020-03-22,0.02943,0.03052,0.02685,0.02716,380292.09,13533882.55
ADA,2020-03-23,0.02716,0.03,0.02667,0.02914,353072.15,12464966.29
ADA,2020-03-24,0.02914,0.03046,0.02898,0.03029,462494.38,15616324.4
ADA,2020-03-25,0.03029,0.03052,0.02886,0.02949,365952.66,12364413.66
ADA,2020-03-26,0.02949,0.031,0.02934,0.03095,171775.15,5764312.32
ADA,2020-03-27,0.03095,0.03149,0.02868,0.02888,295475.88,9736049.84
ADA,2020-03-28,0.02888,0.02999,0.02788,0.02992,279579.29,9711365.39
ADA,2020-03-29,0.02992,0.03003,0.02818,0.02822,164808.06,5711661.48
ADA,2020-03-30,0.02822,0.03048,0.02805,0.02972,345774.55,11783657.49
ADA,2020-03-31,0.02972,0.03074,0.02955,0.03057,150662.16,4986133.54
ADA,2020-04-01,0.03057,0.03099,0.02955,0.03093,328637.59,10864554.28
ADA,2020-04-02,0.03093,0.03361,0.02884,0.03194,328975.87,10253851.34
ADA,2020-04-03,0.03194,0.03283,0.03169,0.03226,246945.63,7659701.84
ADA,2020-04-04,0.03226,0.03259,0.03184,0.0325,68451.12,2125233.36
ADA,2020-04-05,0.0325,0.03261,0.03165,0.032,196941.4,6149981.01
ADA,2020-04-06,0.032,0.03609,0.032,0.03605,438259.51,12791179.83
ADA,2020-04-07,0.03605,0.03726,0.03456,0.03518,634861.73,17482991.29
ADA,2020-04-08,0.03518,0.03718,0.03518,0.03652,253223.45,6958291.5
ADA,2020-04-09,0.03652,0.0366,0.03533,0.03619,158229.65,4404609.59
ADA,2020-04-10,0.03619,0.0362,0.03216,0.03316,282795.19,8395717.37
ADA,2020-04-11,0.03316,0.03413,0.03279,0.03353,129597.49,3849115.55
ADA,2020-04-12,0.03353,0.03499,0.03303,0.03354,226076.45,6584578.78
ADA,2020-04-13,0.03354,0.03355,0.03204,0.0332,225832.62,6921611.57
ADA,2020-04-14,0.0332,0.03379,0.03268,0.03313,101800.73,3059174.7
ADA,2020-04-15,0.03313,0.03369,0.03184,0.03185,72593.31,2220459.63
ADA,2020-04-16,0.03185,0.035,0.03086,0.03441,383523.89,11818449.28
ADA,2020-04-17,0.03441,0.03483,0.03418,0.03448,108285.04,3140053.22
ADA,2020-04-18,0.03448,0.03692,0.03448,0.0366,210391.05,5853353.54
ADA,2020-04-19,0.0366,0.03678,0.03526,0.03561,139710.57,3892975.05
ADA,2020-04-20,0.03561,0.03658,0.03398,0.03401,386024.95,11024018.44
